table	stage	status	detail
rcasinoscks.promocampaignarchcf	export	OK	
rcasinoscks.promocampaignarchcf	import	EMPTY	0
rcasinoscks.promocampaignbybankandgamecf	export	OK	
rcasinoscks.promocampaignbybankandgamecf	import	EMPTY	0
rcasinoscks.promocampaigncf	export	OK	
rcasinoscks.promocampaigncf	import	EMPTY	0
rcasinoscks.promocampaignmembercf	export	OK	
rcasinoscks.promocampaignmembercf	import	EMPTY	0
rcasinoscks.promocampaignstat	export	OK	
rcasinoscks.promocampaignstat	import	EMPTY	0
rcasinoscks.promofeedcf	export	OK	
rcasinoscks.promofeedcf	import	EMPTY	0
rcasinoscks.promomemberaliasescf	export	OK	
rcasinoscks.promomemberaliasescf	import	EMPTY	0
rcasinoscks.promoplatformscf	export	OK	
rcasinoscks.promoplatformscf	import	EMPTY	0
rcasinoscks.promotmaxbalancecf	export	OK	
rcasinoscks.promotmaxbalancecf	import	EMPTY	0
rcasinoscks.promotrankcf	export	OK	
rcasinoscks.promotrankcf	import	EMPTY	0
rcasinoscks.rccf	export	OK	
rcasinoscks.rccf	import	EMPTY	0
rcasinoscks.sequencercf	export	OK	
rcasinoscks.sequencercf	import	OK	8
rcasinoscks.serverconfcf	export	OK	
rcasinoscks.serverconfcf	import	OK	1
rcasinoscks.srvinfocf	export	OK	
rcasinoscks.srvinfocf	import	OK	1
rcasinoscks.subcasinocf	export	OK	
rcasinoscks.subcasinocf	import	OK	2
rcasinoscks.subcasinogroupf	export	OK	
rcasinoscks.subcasinogroupf	import	OK	1
rcasinoscks.summarytransformercf	export	OK	
rcasinoscks.summarytransformercf	import	EMPTY	0
rcasinoscks.tournamenthistorycf	export	OK	
rcasinoscks.tournamenthistorycf	import	EMPTY	0
rcasinoscks.tournamenticoncf	export	OK	
rcasinoscks.tournamenticoncf	import	EMPTY	0
rcasinoscks.trdata_cf	export	OK	
rcasinoscks.trdata_cf	import	OK	3
rcasinoscks.trdata_tracking_cf	export	OK	
rcasinoscks.trdata_tracking_cf	import	OK	3
rcasinoscks.usendedpwicf	export	OK	
rcasinoscks.usendedpwicf	import	EMPTY	0
rcasinoscks.votesrvmastercf	export	OK	
rcasinoscks.votesrvmastercf	import	EMPTY	0
